Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler
Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington
Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers
Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester
Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt
Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard
Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley
Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci
Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser
Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick
Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis
James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore
Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams
James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo
Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn
Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall
Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans
Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins
Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin
Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke
F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice
Gregory Peck, John Megna, Frank Overton, Rosemary Murphy
Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood
Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen
Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito
Paul Newman, Robert Redford, Robert Shaw, Charles Durning
Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty
Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter
Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey
Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González
Tom Hanks, Tim Allen, Don Rickles, Jim Varney
Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth
Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt
Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston
Bette Davis, Anne Baxter, George Sanders, Celeste Holm
Graham Chapman, John Cleese, Eric Idle, Terry Gilliam
Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio
Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell
Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton
Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett
Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody
Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft
Christian Bale, Michael Caine, Liam Neeson, Katie Holmes
Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson
Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard
Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris
Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich
Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent
Steve McQueen, James Garner, Richard Attenborough, James Donald
Al Pacino, Robert De Niro, Val Kilmer, Jon Voight
Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason
Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman
Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez
Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger
Jean Arthur, James Stewart, Claude Rains, Edward Arnold
Buster Keaton, Marion Mack, Glen Cavender, Jim Farley
Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader
William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa
Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson
Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters
Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook
Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos
Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham
Robert De Niro, Sharon Stone, Joe Pesci, James Woods
Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer
Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud
Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison
Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry
Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey
Ray Milland, Grace Kelly, Robert Cummings, John Williams
Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson
Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes
Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka
Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson
Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd
Robert De Niro, John Cazale, John Savage, Christopher Walken
Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio
Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her
Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi
Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon
Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns
William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd
Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams
Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe
Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana
Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson
Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera
Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer
Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone
Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah
Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry
Graham Chapman, John Cleese, Terry Gilliam, Eric Idle
Faye Dunaway, William Holden, Peter Finch, Robert Duvall
Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow
Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson
Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara
Don Cheadle, Xolani Mali, Desmond Dube, Hakeem Kae-Kazim
Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker
David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan
Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd
Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell
Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer
Dennis Price, Valerie Hobson, Joan Greenwood, Alec Guinness
Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre
Paul Newman, Robert Redford, Katharine Ross, Strother Martin
Tim Roth, Pruitt Taylor Vince, Bill Nunn, Clarence Williams III
Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber
Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey
Myrna Loy, Fredric March, Dana Andrews, Teresa Wright
Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin
Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt
Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody
Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne
Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest
Bette Davis, Joan Crawford, Victor Buono, Wesley Addy
Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel
Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough
Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia
Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei
Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl
Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone
Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe
Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver
Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell
Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson
Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud
Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger
Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers
Woody Allen, Diane Keaton, Tony Roberts, Carol Kane
Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello
Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase
Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen
John Wayne, James Stewart, Vera Miles, Lee Marvin
Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price
John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi
Matt Damon, Julia Stiles, David Strathairn, Scott Glenn
Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson
Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr
Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews
Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power
Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming
James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell
Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis
Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield
Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky
Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer
Farley Granger, Ruth Roman, Robert Walker, Leo G. Carroll
Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason
Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy
Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury
Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki
Joseph Melito, Bruce Willis, Jon Seda, Michael Chance
Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel
Penelope Allen, Sully Boyar, John Cazale, Beulah Garrick
Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary
Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate
Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel
Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley
Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès
Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear
Gene Wilder, Peter Boyle, Marty Feldman, Madeline Kahn
William Holden, Don Taylor, Otto Preminger, Robert Strauss
Nicole Kidman, Harriet Andersson, Lauren Bacall, Jean-Marc Barr
Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles
Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado
Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon
Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden
Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson
Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe
Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott
Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle
Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen
Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth
Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern
Wallace Ford, William H. Lynn, Victoria Horne, Jesse White
Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels
Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn
John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson
Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey
John Dall, Farley Granger, Edith Evanson, Douglas Dick
Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers
Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David
Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal
Melinda Dillon, Darren McGavin, Peter Billingsley, Scott Schwartz
Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels
Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed
Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter
Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers
Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn
Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen
Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter
Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey
Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury
Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer
William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien
Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman
Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange
George C. Scott, Karl Malden, Stephen Young, Michael Strong
Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva
Brie Larson, John Gallagher Jr., Stephanie Beatriz, Rami Malek
Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart
Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, Donald Wiegert
Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi
